Scaffold	Refined scaffold	Scaffold start	Scaffold end	Chr	Pseudo start	Pseudo end	Scaffold Orientation
scaffold360	scaffold360a	1	407005	3	7805154	8212158	-
scaffold411	scaffold411	1	760319	3	15965687	16726005	+
scaffold325	scaffold325c	627104	750777	15	3377110	3500783	+
scaffold1143	scaffold1143a	1	647000	1	4185668	4832667	+
scaffold2292	scaffold2292	1	87065	13	1680155	1767219	+
scaffold1202	scaffold1202	1	278459	1	25886196	26164654	+
scaffold156	scaffold156b	2059218	2281796	2	8587698	8810276	+
scaffold6	scaffold6b	112585	478413	1	5459305	5825133	+
scaffold254	scaffold254	1	180255	9	1	180255	-
scaffold489	scaffold489a	1	56133	5	3839167	3895299	+
scaffold489	scaffold489a	56156	256245	5	3895300	4095389	+
scaffold134	scaffold134	1	127166	14	19265141	19392306	-
scaffold1025	scaffold1025	1	94466	7	17077623	17172088	+
scaffold216	scaffold216	543	645842	3	23796463	24441762	-
scaffold216	scaffold216	1	500	3	24441763	24442262	-
scaffold222	scaffold222b	1198249	1508233	8	10455083	10765067	+
scaffold2974	scaffold2974	1	91705	6	521346	613050	-
scaffold875	scaffold875	1	44017	15	11474681	11518697	+
scaffold1721	scaffold1721b	194915	238582	8	654570	698237	+
scaffold48	scaffold48	1	149203	8	16434321	16583523	+
scaffold48	scaffold48	149256	205863	8	16583524	16640131	+
scaffold587	scaffold587	1	396429	9	550719	947147	+
scaffold1035	scaffold1035	92887	428889	8	17692554	18028556	-
scaffold1035	scaffold1035	55153	92850	8	18028557	18066254	-
scaffold1035	scaffold1035	1	55119	8	18066255	18121373	-
scaffold1884	scaffold1884	1	174268	13	5755272	5929539	+
scaffold1884	scaffold1884	174292	176935	13	5929540	5932183	+
scaffold1884	scaffold1884	176970	194493	13	5932184	5949707	+
scaffold1017	scaffold1017	1	88987	11	10364635	10453621	+
scaffold3153	scaffold3153	1	54652	8	18678857	18733508	+
scaffold1469	scaffold1469	1	87281	2	10348164	10435444	+
scaffold158	scaffold158	1	138847	10	4053285	4192131	+
scaffold511	scaffold511	1	250795	7	125631	376425	+
scaffold511	scaffold511	250818	658196	7	376426	783804	+
scaffold931	scaffold931	360579	463482	1	4994862	5097765	-
scaffold931	scaffold931	1	360539	1	5097766	5458304	-
scaffold3749	scaffold3749	1	24968	8	6038462	6063429	+
scaffold540	scaffold540a	819073	944961	7	1033430	1159318	-
scaffold540	scaffold540a	1	819056	7	1159319	1978374	-
scaffold1136	scaffold1136	1	94496	12	3673836	3768331	-
scaffold490	scaffold490	1	148002	9	20306016	20454017	+
scaffold272	scaffold272	1	907	4	14119916	14120822	+
scaffold272	scaffold272	1006	745592	4	14120823	14865409	+
scaffold272	scaffold272	745649	1952140	4	14865410	16071901	+
scaffold272	scaffold272	1952182	2415421	4	16071902	16535141	+
scaffold285	scaffold285	1	233640	3	10011350	10244989	-
scaffold97	scaffold97	1	135187	6	11165314	11300500	-
scaffold6	scaffold6a	1	112584	14	4754636	4867219	-
scaffold155	scaffold155a	1	234747	6	15323673	15558419	+
scaffold23	scaffold23b	564339	781883	7	16205990	16423534	-
scaffold23	scaffold23b	540604	564309	7	16423535	16447240	-
scaffold473	scaffold473	1	207544	9	18768899	18976442	+
scaffold473	scaffold473	207640	984160	9	18976443	19752963	+
scaffold1045	scaffold1045	1	92672	3	22142303	22234974	+
scaffold571	scaffold571	1	165665	8	7019402	7185066	+
scaffold661	scaffold661	1	330738	10	12798704	13129441	-
scaffold1578	scaffold1578a	1	39095	6	12908847	12947941	+
scaffold696	scaffold696	1	98991	11	19788781	19887771	-
scaffold23	scaffold23a	1	540603	12	116059	656661	+
scaffold444	scaffold444	1	96514	7	9984749	10081262	-
scaffold3053	scaffold3053	1	17570	4	8686855	8704424	-
scaffold374	scaffold374	1	325416	14	11541075	11866490	+
scaffold2596	scaffold2596	1	12470	7	13462189	13474658	+
scaffold12	scaffold12	1	1290693	10	8142638	9433330	+
scaffold12	scaffold12	1290863	1428522	10	9433331	9570990	+
scaffold12	scaffold12	1428561	1610640	10	9570991	9753070	+
scaffold12	scaffold12	1610677	1760903	10	9753071	9903297	+
scaffold12	scaffold12	1760953	1769429	10	9903298	9911774	+
scaffold12	scaffold12	1769479	1995166	10	9911775	10137462	+
scaffold12	scaffold12	1995360	2259202	10	10137463	10401305	+
scaffold201	scaffold201	118838	592936	14	10948180	11422278	-
scaffold201	scaffold201	1	118796	14	11422279	11541074	-
scaffold141	scaffold141	1	264001	1	22126562	22390562	-
scaffold25	scaffold25c	2631402	3087368	6	2412877	2868843	+
scaffold1533	scaffold1533	1	88114	12	1	88114	-
scaffold36	scaffold36	1	278982	3	14441024	14720005	+
scaffold128	scaffold128	80013	290996	5	9027564	9238547	-
scaffold128	scaffold128	1	79989	5	9238548	9318536	-
scaffold126	scaffold126	1	262812	8	9799833	10062644	-
scaffold358	scaffold358	1	120483	10	16899596	17020078	-
scaffold222	scaffold222a	1	285665	3	18295028	18580692	+
scaffold222	scaffold222a	285685	1198248	3	18580693	19493256	+
scaffold687	scaffold687	1	685069	14	16250495	16935563	-
scaffold1004	scaffold1004	1	288485	12	2531834	2820318	-
scaffold751	scaffold751	423741	496732	4	9115385	9188376	-
scaffold751	scaffold751	1	423693	4	9188377	9612069	-
scaffold488	scaffold488a	1	125529	5	3712638	3838166	+
scaffold132	scaffold132a	1	776262	1	24814932	25591193	-
scaffold325	scaffold325d	750778	904015	7	17352242	17505479	-
scaffold400	scaffold400	1	197777	2	14488989	14686765	+
scaffold546	scaffold546	309493	384677	4	1777984	1853168	-
scaffold546	scaffold546	1	309451	4	1853169	2162619	-
scaffold242	scaffold242a	85117	316831	15	10947419	11179133	-
scaffold242	scaffold242a	1	85096	15	11179134	11264229	-
scaffold468	scaffold468	311808	400158	2	15489487	15577837	-
scaffold468	scaffold468	230494	311654	2	15577838	15658998	-
scaffold468	scaffold468	1	230476	2	15658999	15889474	-
scaffold594	scaffold594b	300701	302066	2	4920802	4922167	-
scaffold594	scaffold594b	219514	300659	2	4922168	5003313	-
scaffold327	scaffold327a	519823	850654	5	1	330832	-
scaffold327	scaffold327a	1	519766	5	330833	850598	-
scaffold1249	scaffold1249	1	361147	13	4871081	5232227	+
scaffold349	scaffold349	1	974953	8	19795676	20770628	+
scaffold612	scaffold612a	1	277049	14	3585259	3862307	+
scaffold77	scaffold77b	415555	802665	1	12448812	12835922	+
scaffold53	scaffold53	1	455211	4	4938461	5393671	+
scaffold2932	scaffold2932	79570	279517	5	2061792	2261739	-
scaffold2932	scaffold2932	1	79527	5	2261740	2341266	-
scaffold542	scaffold542	1	48355	14	9458501	9506855	+
scaffold191	scaffold191	1	377294	9	13963865	14341158	-
scaffold199	scaffold199a	1	187359	10	10413116	10600474	+
scaffold594	scaffold594a	1	219513	10	11978729	12198241	+
scaffold1123	scaffold1123b	787816	815591	8	2217702	2245477	+
scaffold1982	scaffold1982	1	221802	1	8545070	8766871	+
scaffold786	scaffold786	1	61224	2	1	61224	-
scaffold825	scaffold825	1	45838	13	320487	366324	+
scaffold231	scaffold231a	1	49636	8	19745040	19794675	+
scaffold242	scaffold242b	446258	497164	3	11720357	11771263	-
scaffold242	scaffold242b	316832	446215	3	11771264	11900647	-
scaffold586	scaffold586	1	256538	7	10769435	11025972	-
scaffold103	scaffold103	1	720360	1	27820347	28540706	+
scaffold236	scaffold236	1	43294	9	10876445	10919738	+
scaffold2182	scaffold2182	1	26986	14	13169779	13196764	+
scaffold1889	scaffold1889	1	13115	8	16641132	16654246	+
scaffold132	scaffold132b	776263	1114506	5	6746143	7084386	-
scaffold256	scaffold256b	77736	113844	2	10685018	10721126	+
scaffold2404	scaffold2404	1	191764	6	15580311	15772074	-
scaffold175	scaffold175c	528682	592226	1	20285837	20349381	-
scaffold175	scaffold175c	288799	528656	1	20349382	20589239	-
scaffold462	scaffold462	1092165	1841552	3	1166403	1915790	-
scaffold462	scaffold462	38509	1092144	3	1915791	2969426	-
scaffold462	scaffold462	1	38465	3	2969427	3007891	-
scaffold51	scaffold51a	1	31902	14	13197765	13229666	+
scaffold51	scaffold51a	31945	411991	14	13229667	13609713	+
scaffold111	scaffold111	1	131073	3	7588908	7719980	-
scaffold1821	scaffold1821	1	121473	14	2868750	2990222	+
scaffold1821	scaffold1821	121715	211574	14	2990223	3080082	+
scaffold970	scaffold970	1	135781	12	7485221	7621001	+
scaffold7	scaffold7	1	594113	3	11943435	12537547	-
scaffold3914	scaffold3914	1	16225	2	22128607	22144831	+
scaffold171	scaffold171a	1	65312	7	7964940	8030251	-
scaffold94	scaffold94a	1	257554	4	9613070	9870623	+
scaffold866	scaffold866	1	577454	6	622438	1199891	-
scaffold322	scaffold322	1	132926	7	10126010	10258935	-
scaffold977	scaffold977b	1255802	1289877	10	500397	534472	-
scaffold917	scaffold917a	1	747436	13	18677010	19424445	-
scaffold496	scaffold496	1	84547	8	9646526	9731072	-
scaffold196	scaffold196c	1601410	1901133	12	5461849	5761572	-
scaffold196	scaffold196c	1514004	1601375	12	5761573	5848944	-
scaffold67	scaffold67a	1107807	1178870	9	16522055	16593118	-
scaffold67	scaffold67a	1048641	1107752	9	16593119	16652230	-
scaffold67	scaffold67a	1	1048606	9	16652231	17700836	-
scaffold253	scaffold253	1	287929	14	11908159	12196087	-
scaffold744	scaffold744	222792	441976	13	19593996	19813180	-
scaffold744	scaffold744	1	222769	13	19813181	20035949	-
scaffold306	scaffold306b	345181	1423099	12	13953375	15031293	+
scaffold635	scaffold635	1	383379	8	22450577	22833955	+
scaffold635	scaffold635	383437	579284	8	22833956	23029803	+
scaffold2857	scaffold2857	1	49677	3	3540525	3590201	-
scaffold342	scaffold342	1	853546	8	7654835	8508380	+
scaffold305	scaffold305a	1	217092	6	14349618	14566709	+
scaffold305	scaffold305a	217143	410417	6	14566710	14759984	+
scaffold1105	scaffold1105	1	14508	7	10564337	10578844	+
scaffold1105	scaffold1105	14605	157298	7	10578845	10721538	+
scaffold2	scaffold2	1	1085360	11	13792291	14877650	-
scaffold846	scaffold846	1	223944	15	4192904	4416847	-
scaffold171	scaffold171b	65313	417180	13	9179345	9531212	-
scaffold735	scaffold735	1	68020	14	8123910	8191929	+
scaffold735	scaffold735	68055	130579	14	8191930	8254454	+
scaffold1080	scaffold1080	1	229924	3	8714056	8943979	+
scaffold1536	scaffold1536b	29941	333658	5	14171287	14475004	+
scaffold1536	scaffold1536b	333705	351467	5	14475005	14492767	+
scaffold1098	scaffold1098	1	67675	10	17902023	17969697	-
scaffold139	scaffold139	1	114666	6	11027339	11142004	-
scaffold251	scaffold251	1	695341	8	23089999	23785339	-
scaffold232	scaffold232	1	92677	1	28897220	28989896	+
scaffold1331	scaffold1331	1	369788	9	20455018	20824805	-
scaffold453	scaffold453	1	101930	2	10722127	10824056	+
scaffold472	scaffold472b	215451	377277	14	18463878	18625704	-
