chr	ID	start	end	strand	RGA type	scaffold 	refined scaffold
14	Lus10022464	14293409	14296533	+	NL	scaffold38	scaffold38
14	Lus10022487	14432892	14437734	+	RLK	scaffold38	scaffold38
14	Lus10022488	14437890	14439788	-	RLK	scaffold38	scaffold38
14	Lus10003094	7937283	7938458	-	NL	scaffold387	scaffold387
10	Lus10011933	7836437	7842501	+	RLK	scaffold39	scaffold39
1	Lus10014648	22571768	22573957	+	RLK	scaffold398	scaffold398
9	Lus10011609	8529175	8532321	+	RLK	scaffold40	scaffold40
5	Lus10028343	15097906	15098772	-	TN	scaffold413	scaffold413a
5	Lus10028347	15077659	15081716	-	RLK	scaffold413	scaffold413a
5	Lus10028354	15036090	15039460	-	TM-CC	scaffold413	scaffold413a
5	Lus10028407	14775502	14778154	-	RLK	scaffold413	scaffold413a
4	Lus10028494	16716565	16721731	+	RLK	scaffold413	scaffold413b
5	Lus10029788	13628677	13630708	-	RLK	scaffold416	scaffold416a
5	Lus10029802	13567242	13570428	+	RLK	scaffold416	scaffold416a
5	Lus10029810	13512923	13513231	-	TX	scaffold416	scaffold416a
5	Lus10029860	13270430	13273781	+	TNL	scaffold416	scaffold416a
4	Lus10029897	17989501	17992167	+	TM-CC	scaffold416	scaffold416b
4	Lus10029919	18100856	18101804	-	TX	scaffold416	scaffold416b
4	Lus10029921	18109092	18112034	-	TX	scaffold416	scaffold416b
4	Lus10029927	18126435	18126713	-	TX	scaffold416	scaffold416b
4	Lus10029930	18139913	18142111	+	TM-CC	scaffold416	scaffold416b
4	Lus10029948	18197596	18200954	-	RLK	scaffold416	scaffold416b
4	Lus10029961	18267664	18272993	+	TM-CC	scaffold416	scaffold416b
4	Lus10029962	18275442	18278553	+	TM-CC	scaffold416	scaffold416b
4	Lus10030022	18531432	18534550	+	RLK	scaffold416	scaffold416b
9	Lus10029624	18041077	18042827	+	RLK	scaffold418	scaffold418b
9	Lus10029626	18047877	18049466	+	RLK	scaffold418	scaffold418b
9	Lus10029628	18052235	18056775	-	TNL	scaffold418	scaffold418b
9	Lus10029659	18255951	18258666	+	RLK	scaffold418	scaffold418b
5	Lus10029704	1291080	1292029	-	NBS	scaffold418	scaffold418c
5	Lus10029711	1260077	1262011	-	RLK	scaffold418	scaffold418c
5	Lus10029714	1251306	1252994	+	RLK	scaffold418	scaffold418c
5	Lus10029722	1195232	1199147	-	TNL	scaffold418	scaffold418c
5	Lus10029769	935840	937936	+	RLK	scaffold418	scaffold418c
13	Lus10031944	15529642	15532792	+	RLK	scaffold42	scaffold42
13	Lus10031965	15642977	15647200	-	RLK	scaffold42	scaffold42
13	Lus10031976	15688838	15690874	-	RLK	scaffold42	scaffold42
13	Lus10032026	15959164	15960805	-	TM-CC	scaffold42	scaffold42
13	Lus10032058	16049662	16052743	-	RLK	scaffold42	scaffold42
13	Lus10032059	16059316	16062400	-	RLK	scaffold42	scaffold42
13	Lus10032101	16273486	16275571	-	TN	scaffold42	scaffold42
13	Lus10032162	16548757	16551846	-	RLK	scaffold42	scaffold42
13	Lus10032188	16656041	16657593	+	TM-CC	scaffold42	scaffold42
2	Lus10019654	1583715	1588562	-	TNL	scaffold420	scaffold420a
2	Lus10019661	1638486	1640438	+	RLK	scaffold420	scaffold420a
2	Lus10019662	1640700	1642154	-	RLK	scaffold420	scaffold420a
13	Lus10019693	4625737	4627728	-	RLP	scaffold420	scaffold420b
13	Lus10019708	4520377	4539065	-	TNL	scaffold420	scaffold420b
13	Lus10019722	4448610	4451882	+	RLK	scaffold420	scaffold420b
13	Lus10035012	14940418	14942441	-	RLK	scaffold43	scaffold43a
2	Lus10035104	21477331	21479063	+	RLK	scaffold43	scaffold43b
2	Lus10035126	21586963	21589590	+	RLP	scaffold43	scaffold43b
2	Lus10035138	21632030	21635932	+	RLK	scaffold43	scaffold43b
2	Lus10035225	22033427	22036534	-	RLK	scaffold43	scaffold43b
4	Lus10015729	13254352	13259591	-	RLK	scaffold430	scaffold430
4	Lus10015799	12924293	12928647	+	RLK	scaffold430	scaffold430
2	Lus10005300	10574845	10576753	-	TM-CC	scaffold433	scaffold433
11	Lus10012949	15282094	15285342	-	RLK	scaffold434	scaffold434
7	Lus10006028	7619941	7623178	+	RLK	scaffold438	scaffold438
7	Lus10006045	7843787	7846888	+	RLK	scaffold438	scaffold438
1	Lus10020446	21084584	21086740	+	RLK	scaffold44	scaffold44a
1	Lus10020452	21135084	21137153	+	RLK	scaffold44	scaffold44a
1	Lus10020456	21151594	21153708	+	RLK	scaffold44	scaffold44a
3	Lus10020500	16881292	16888832	-	RLK	scaffold44	scaffold44b
8	Lus10010867	12265400	12267484	+	RLK	scaffold440	scaffold440
2	Lus10020140	3999976	4004173	-	RLK	scaffold454	scaffold454
2	Lus10020183	4257022	4259288	+	RLK	scaffold454	scaffold454
1	Lus10009703	18125241	18127926	+	RLK	scaffold455	scaffold455
7	Lus10025400	13938574	13941954	-	RLK	scaffold46	scaffold46
7	Lus10025441	14175258	14177384	+	RLK	scaffold46	scaffold46
7	Lus10025455	14255334	14257462	+	RLK	scaffold46	scaffold46
7	Lus10025481	14465813	14466987	-	TM-CC	scaffold46	scaffold46
10	Lus10018658	15217742	15221655	+	TNL	scaffold461	scaffold461
10	Lus10018711	15509230	15510930	-	TM-CC	scaffold461	scaffold461
10	Lus10018722	15553494	15555594	-	RLK	scaffold461	scaffold461
10	Lus10018733	15618631	15620686	-	RLK	scaffold461	scaffold461
3	Lus10037051	2996705	3004587	+	RLK	scaffold462	scaffold462
3	Lus10037083	2854853	2856805	-	RLK	scaffold462	scaffold462
3	Lus10037226	2127216	2128010	+	RLP	scaffold462	scaffold462
3	Lus10037276	1897891	1900982	-	RLK	scaffold462	scaffold462
3	Lus10037294	1829170	1831587	+	RLK	scaffold462	scaffold462
3	Lus10037310	1744034	1747357	+	RLK	scaffold462	scaffold462
3	Lus10037311	1738506	1742264	-	RLK	scaffold462	scaffold462
3	Lus10037358	1526641	1530191	+	RLK	scaffold462	scaffold462
3	Lus10037389	1391542	1393416	+	RLK	scaffold462	scaffold462
3	Lus10037406	1311436	1315956	+	TNL	scaffold462	scaffold462
1	Lus10035605	7957161	7963007	-	RLK	scaffold464	scaffold464a
14	Lus10035674	15357234	15366290	-	TNL	scaffold464	scaffold464b
14	Lus10035687	15284609	15287694	-	RLK	scaffold464	scaffold464b
14	Lus10035703	15218499	15230401	+	RLK	scaffold464	scaffold464b
14	Lus10035710	15192891	15194836	-	RLK	scaffold464	scaffold464b
14	Lus10035724	15127272	15128934	+	RLK	scaffold464	scaffold464b
14	Lus10035726	15113841	15119001	-	RLK	scaffold464	scaffold464b
14	Lus10035783	14875360	14878506	+	RLK	scaffold464	scaffold464b
14	Lus10035826	14703564	14706032	-	RLK	scaffold464	scaffold464b
14	Lus10035853	14578426	14583527	+	TM-CC	scaffold464	scaffold464b
15	Lus10022520	12508465	12509898	-	RLK	scaffold465	scaffold465
15	Lus10022538	12363082	12364778	+	TM-CC	scaffold465	scaffold465
4	Lus10027146	18867114	18869486	+	RLK	scaffold472	scaffold472a
4	Lus10027184	18700213	18704154	+	TNL	scaffold472	scaffold472a
14	Lus10027215	18503051	18508851	-	TM-CC	scaffold472	scaffold472b
14	Lus10027221	18469573	18473950	+	RLK	scaffold472	scaffold472b
11	Lus10027247	605229	609301	+	RLK	scaffold472	scaffold472c
11	Lus10027281	461350	464713	+	CNL	scaffold472	scaffold472c
11	Lus10027310	343308	347707	+	TM-CC	scaffold472	scaffold472c
11	Lus10027336	270452	273739	+	RLK	scaffold472	scaffold472c
9	Lus10024803	18850684	18852784	+	RLK	scaffold473	scaffold473
9	Lus10024813	18923962	18926063	+	RLK	scaffold473	scaffold473
9	Lus10024886	19349782	19354051	+	TNL	scaffold473	scaffold473
9	Lus10024933	19596094	19597468	-	TM-CC	scaffold473	scaffold473
9	Lus10024948	19657652	19659326	-	TM-CC	scaffold473	scaffold473
9	Lus10024965	19729257	19735152	-	TM-CC	scaffold473	scaffold473
15	Lus10037840	14432061	14436021	-	RLK	scaffold475	scaffold475a
15	Lus10037865	14341269	14344188	+	RLK	scaffold475	scaffold475a
15	Lus10037887	14244263	14246857	+	RLK	scaffold475	scaffold475a
15	Lus10037921	14091576	14098286	-	RLK	scaffold475	scaffold475a
2	Lus10038071	5726119	5732798	-	RLK	scaffold475	scaffold475b
2	Lus10038072	5702508	5717187	-	TM-CC	scaffold475	scaffold475b
2	Lus10038077	5650685	5653251	+	RLK	scaffold475	scaffold475b
9	Lus10011702	12301337	12302536	+	TM-CC	scaffold476	scaffold476
14	Lus10008186	10014362	10016263	+	RLK	scaffold480	scaffold480
14	Lus10008187	10002144	10003958	-	RLK	scaffold480	scaffold480
13	Lus10005171	947314	951279	-	TNL	scaffold485	scaffold485
13	Lus10005174	901666	901995	-	TX	scaffold485	scaffold485
3	Lus10033291	22753013	22769152	-	RLK	scaffold488	scaffold488b
3	Lus10033299	22808885	22809545	-	CN	scaffold488	scaffold488b
3	Lus10033328	22988702	22992601	-	TM-CC	scaffold488	scaffold488b
3	Lus10033329	22995074	22998304	-	RLK	scaffold488	scaffold488b
3	Lus10033330	23001108	23004402	-	RLK	scaffold488	scaffold488b
3	Lus10033333	23026329	23030618	-	RLK	scaffold488	scaffold488b
3	Lus10033339	23067103	23070039	+	RLK	scaffold488	scaffold488b
3	Lus10033362	23213568	23216896	+	RLK	scaffold488	scaffold488b
3	Lus10033363	23218462	23221701	+	RLK	scaffold488	scaffold488b
3	Lus10033365	23233919	23238232	+	RLK	scaffold488	scaffold488b
3	Lus10033384	23331293	23334472	+	RLK	scaffold488	scaffold488b
3	Lus10033400	23448152	23450298	+	RLK	scaffold488	scaffold488b
3	Lus10033407	23486429	23489300	-	RLK	scaffold488	scaffold488b
5	Lus10008310	12835909	12840720	+	RLK	scaffold489	scaffold489b
9	Lus10003156	20378898	20382160	-	RLK	scaffold490	scaffold490
8	Lus10009103	13231085	13232398	+	RLK	scaffold491	scaffold491
12	Lus10002882	6796498	6798215	-	RLK	scaffold498	scaffold498
12	Lus10002885	6816777	6818473	-	TM-CC	scaffold498	scaffold498
2	Lus10033133	18687156	18693800	-	TM-CC	scaffold50	scaffold50
8	Lus10007790	18462216	18466320	-	TNL	scaffold500	scaffold500
8	Lus10007795	18423088	18440817	+	TM-CC	scaffold500	scaffold500
8	Lus10007808	18376722	18380935	+	TNL	scaffold500	scaffold500
8	Lus10007809	18372540	18375566	+	NL	scaffold500	scaffold500
8	Lus10007810	18366041	18370123	-	TNL	scaffold500	scaffold500
8	Lus10007811	18359124	18363387	-	TNL	scaffold500	scaffold500
8	Lus10007812	18350700	18354799	-	TNL	scaffold500	scaffold500
8	Lus10007813	18344363	18349288	-	TNL	scaffold500	scaffold500
8	Lus10007814	18335847	18340501	-	TNL	scaffold500	scaffold500
8	Lus10007821	18309564	18313636	+	TNL	scaffold500	scaffold500
8	Lus10007822	18299941	18302829	-	TNL	scaffold500	scaffold500
8	Lus10007823	18293684	18297416	+	OTHER	scaffold500	scaffold500
8	Lus10007825	18281240	18285241	+	TNL	scaffold500	scaffold500
8	Lus10007826	18276064	18278228	-	TNL	scaffold500	scaffold500
8	Lus10007828	18271093	18275151	+	TNL	scaffold500	scaffold500
8	Lus10007829	18263872	18267734	-	OTHER	scaffold500	scaffold500
8	Lus10007830	18260420	18262824	-	NL	scaffold500	scaffold500
8	Lus10007831	18254394	18258346	-	TNL	scaffold500	scaffold500
8	Lus10007836	18230065	18232282	+	TNL	scaffold500	scaffold500
8	Lus10007852	18160912	18161680	+	TX	scaffold500	scaffold500
11	Lus10023628	15783031	15787617	+	RLK	scaffold505	scaffold505a
8	Lus10023677	14824973	14828322	-	RLK	scaffold505	scaffold505b
8	Lus10023681	14867064	14869805	-	RLK	scaffold505	scaffold505b
14	Lus10032944	13571599	13574157	-	RLK	scaffold51	scaffold51a
10	Lus10032954	12712340	12715775	+	RLK	scaffold51	scaffold51b
4	Lus10032971	11123436	11126177	-	RLK	scaffold51	scaffold51c
4	Lus10032976	11067018	11069690	-	RLK	scaffold51	scaffold51c
7	Lus10017326	226935	234195	-	RLK	scaffold511	scaffold511
7	Lus10017357	370018	372956	-	TM-CC	scaffold511	scaffold511
7	Lus10017400	558307	559999	+	RLK	scaffold511	scaffold511
7	Lus10017418	655870	659354	+	TNL	scaffold511	scaffold511
7	Lus10017419	661802	663551	+	TN	scaffold511	scaffold511
7	Lus10017420	663608	665544	+	RLP	scaffold511	scaffold511
7	Lus10017439	749978	752897	+	RLK	scaffold511	scaffold511
2	Lus10016299	16578533	16580482	-	RLK	scaffold515	scaffold515
7	Lus10008018	6402922	6406848	-	RLK	scaffold517	scaffold517
7	Lus10008019	6398347	6398571	-	OTHER	scaffold517	scaffold517
7	Lus10008026	6317757	6320369	+	NL	scaffold517	scaffold517
7	Lus10008027	6316446	6317571	+	TN	scaffold517	scaffold517
14	Lus10008318	10530139	10530998	+	TX	scaffold520	scaffold520
14	Lus10008320	10547787	10552007	+	TNL	scaffold520	scaffold520
3	Lus10008105	26158525	26161504	-	RLK	scaffold524	scaffold524
9	Lus10003571	17933574	17936360	-	NL	scaffold536	scaffold536
10	Lus10015057	6320237	6333561	+	RLK	scaffold54	scaffold54
7	Lus10028764	1841117	1842328	+	TM-CC	scaffold540	scaffold540a
7	Lus10028782	1733606	1736389	+	RLK	scaffold540	scaffold540a
7	Lus10028805	1612374	1615154	+	RLK	scaffold540	scaffold540a
7	Lus10028874	1318764	1320403	+	TM-CC	scaffold540	scaffold540a
7	Lus10028916	1122500	1124815	-	RLK	scaffold540	scaffold540a
9	Lus10028975	1105723	1118250	+	TM-CC	scaffold540	scaffold540b
1	Lus10001290	19435574	19444996	-	RLK	scaffold544	scaffold544
1	Lus10001295	19410315	19412849	+	RLK	scaffold544	scaffold544
4	Lus10009886	1807409	1810370	+	TM-CC	scaffold546	scaffold546
4	Lus10029483	2558405	2561557	+	RLP	scaffold55	scaffold55
4	Lus10029553	3397836	3399812	-	RLK	scaffold55	scaffold55
4	Lus10029554	3407609	3409600	+	RLK	scaffold55	scaffold55
4	Lus10029555	3409893	3412039	-	RLK	scaffold55	scaffold55
3	Lus10005847	12726509	12728405	-	RLP	scaffold562	scaffold562
5	Lus10011741	8921596	8925522	+	TNL	scaffold568	scaffold568
5	Lus10011756	8744670	8748180	+	RLK	scaffold568	scaffold568
5	Lus10011761	8655296	8658503	+	RLK	scaffold568	scaffold568
11	Lus10036386	8084900	8087172	+	RLK	scaffold57	scaffold57a
11	Lus10036426	7891950	7894369	+	RLK	scaffold57	scaffold57a
11	Lus10036490	7613096	7619314	-	TM-CC	scaffold57	scaffold57a
11	Lus10036495	7599081	7600861	+	TM-CC	scaffold57	scaffold57a
11	Lus10036510	7509615	7518421	-	TM-CC	scaffold57	scaffold57a
11	Lus10036524	7432770	7435073	-	RLK	scaffold57	scaffold57a
11	Lus10036533	7388293	7389882	-	RLK	scaffold57	scaffold57a
11	Lus10036576	7189719	7192324	+	RLK	scaffold57	scaffold57a
11	Lus10036608	7044746	7047325	-	RLK	scaffold57	scaffold57a
11	Lus10036636	6923635	6929041	+	TM-CC	scaffold57	scaffold57a
6	Lus10036639	5507855	5510341	-	RLK	scaffold57	scaffold57b
6	Lus10036667	5675792	5678164	+	RLK	scaffold57	scaffold57b
6	Lus10036672	5718165	5721746	+	RLK	scaffold57	scaffold57b
8	Lus10012311	2691804	2696431	-	TNL	scaffold572	scaffold572a
13	Lus10002096	6386959	6394937	-	RLK	scaffold575	scaffold575
1	Lus10014671	26281163	26282239	+	TX	scaffold584	scaffold584
1	Lus10014712	26487140	26490037	-	NL	scaffold584	scaffold584
9	Lus10010152	585852	589259	-	TM-CC	scaffold587	scaffold587
9	Lus10010199	790836	794034	+	RLK	scaffold587	scaffold587
9	Lus10010221	911825	917007	+	TNL	scaffold587	scaffold587
9	Lus10010222	918523	919456	+	TN	scaffold587	scaffold587
9	Lus10010223	919710	925108	+	NL	scaffold587	scaffold587
1	Lus10022590	10556891	10559705	+	RLK	scaffold59	scaffold59
1	Lus10022662	10231690	10233762	-	RLK	scaffold59	scaffold59
1	Lus10022678	10154780	10157199	+	RLK	scaffold59	scaffold59
1	Lus10022679	10151555	10153932	+	RLK	scaffold59	scaffold59
1	Lus10022697	10074849	10079898	+	TM-CC	scaffold59	scaffold59
1	Lus10022702	10052646	10054271	+	TM-CC	scaffold59	scaffold59
1	Lus10022707	10032284	10033891	+	TN	scaffold59	scaffold59
1	Lus10022728	9947629	9950374	+	RLK	scaffold59	scaffold59
1	Lus10022738	9904469	9907409	-	RLK	scaffold59	scaffold59
1	Lus10022748	9840386	9841669	-	RLK	scaffold59	scaffold59
1	Lus10022749	9836961	9838310	+	RLK	scaffold59	scaffold59
1	Lus10012581	5732437	5736390	+	TM-CC	scaffold6	scaffold6b
1	Lus10012585	5746308	5748406	-	RLK	scaffold6	scaffold6b
14	Lus10009213	8765049	8768195	-	RLK	scaffold60	scaffold60
1	Lus10025703	1230806	1233812	-	RLK	scaffold605	scaffold605a
1	Lus10025774	1533700	1537509	-	RLK	scaffold605	scaffold605a
1	Lus10025784	1571715	1576443	+	RLK	scaffold605	scaffold605a
1	Lus10025849	1841922	1845721	-	RLK	scaffold605	scaffold605a
1	Lus10025852	1851791	1853596	-	NL	scaffold605	scaffold605a
1	Lus10025891	2021101	2023984	+	RLK	scaffold605	scaffold605a
1	Lus10025926	2549750	2554731	-	RLK	scaffold605	scaffold605b
1	Lus10008415	13886261	13886767	+	TX	scaffold61	scaffold61
1	Lus10008435	13707411	13748207	+	RLK	scaffold61	scaffold61
8	Lus10011812	15422989	15426881	-	RLK	scaffold610	scaffold610b
14	Lus10021448	4018836	4024903	+	TM-CC	scaffold612	scaffold612b
14	Lus10021460	4088958	4091956	-	RLK	scaffold612	scaffold612b
8	Lus10026493	3664114	3666216	+	RLK	scaffold617	scaffold617a
8	Lus10026546	3395913	3401991	+	RLK	scaffold617	scaffold617a
2	Lus10026629	24726725	24730667	+	RLK	scaffold617	scaffold617b
13	Lus10026666	19508308	19510269	+	RLK	scaffold617	scaffold617c
13	Lus10026689	20419895	20425181	-	RLK	scaffold617	scaffold617d
6	Lus10013902	12956498	12962669	-	RLP	scaffold618	scaffold618
8	Lus10013540	748629	751342	-	TM-CC	scaffold62	scaffold62
8	Lus10013562	874161	877199	-	RLK	scaffold62	scaffold62
14	Lus10003749	10399354	10404385	+	TNL	scaffold629	scaffold629
14	Lus10015648	5955689	5959658	-	TNL	scaffold630	scaffold630
14	Lus10015650	5963346	5966177	-	TNL	scaffold630	scaffold630
8	Lus10015344	22505658	22506803	-	RLK	scaffold635	scaffold635
8	Lus10015349	22522656	22524239	+	TM-CC	scaffold635	scaffold635
8	Lus10015350	22525026	22531343	+	TNL	scaffold635	scaffold635
8	Lus10015393	22757087	22760191	-	RLK	scaffold635	scaffold635
8	Lus10015417	22859986	22864994	-	RLP	scaffold635	scaffold635
8	Lus10015422	22884459	22886387	-	RLK	scaffold635	scaffold635
8	Lus10005017	6193277	6195565	-	RLP	scaffold637	scaffold637
10	Lus10020238	17827235	17831189	+	TNL	scaffold641	scaffold641
10	Lus10020258	17733323	17736679	-	TM-CC	scaffold641	scaffold641
10	Lus10020303	17543713	17546662	-	RLK	scaffold641	scaffold641
13	Lus10026845	1944672	1945903	-	TX	scaffold651	scaffold651a
13	Lus10026938	2441218	2445561	+	RLK	scaffold651	scaffold651b
13	Lus10026961	2307442	2311661	+	TNL	scaffold651	scaffold651b
13	Lus10026988	2142483	2146101	-	RLK	scaffold651	scaffold651b
7	Lus10003807	2132243	2135602	+	RLK	scaffold654	scaffold654
5	Lus10034739	4179656	4181192	+	RLK	scaffold66	scaffold66
5	Lus10034753	4271192	4276627	-	RLK	scaffold66	scaffold66
5	Lus10034761	4312833	4314926	-	CN	scaffold66	scaffold66
5	Lus10034787	4557260	4561543	-	TM-CC	scaffold66	scaffold66
5	Lus10034790	4605640	4610444	-	RLK	scaffold66	scaffold66
5	Lus10034795	4643996	4646254	+	RLK	scaffold66	scaffold66
5	Lus10034860	5282220	5284359	+	RLK	scaffold66	scaffold66
5	Lus10034873	5359385	5362238	-	RLK	scaffold66	scaffold66
9	Lus10042537	17502861	17505651	-	RLK	scaffold67	scaffold67a
10	Lus10042678	13473657	13475711	-	RLK	scaffold67	scaffold67b
10	Lus10042679	13476414	13478339	-	RLK	scaffold67	scaffold67b
10	Lus10042714	13695454	13699694	-	OTHER	scaffold67	scaffold67b
10	Lus10042752	13923852	13924328	+	TX	scaffold67	scaffold67b
10	Lus10042777	14039240	14040071	+	TX	scaffold67	scaffold67b
10	Lus10042778	14040075	14042411	+	NL	scaffold67	scaffold67b
10	Lus10042795	14147878	14149953	-	RLK	scaffold67	scaffold67b
10	Lus10042816	14266621	14269780	+	RLK	scaffold67	scaffold67b
10	Lus10042820	14287256	14291739	+	TM-CC	scaffold67	scaffold67b
10	Lus10042844	14384964	14387450	-	RLK	scaffold67	scaffold67b
3	Lus10007206	20417548	20420938	+	RLK	scaffold674	scaffold674
3	Lus10007214	20482417	20487096	-	TM-CC	scaffold674	scaffold674
8	Lus10010574	21855080	21859064	+	TNL	scaffold680	scaffold680
14	Lus10017961	16832500	16834268	-	TM-CC	scaffold687	scaffold687
14	Lus10017963	16826426	16828276	-	RLK	scaffold687	scaffold687
14	Lus10017996	16656320	16658772	-	RLK	scaffold687	scaffold687
14	Lus10018021	16558322	16562253	-	TNL	scaffold687	scaffold687
14	Lus10018023	16554809	16555030	+	TX	scaffold687	scaffold687
14	Lus10018024	16552178	16554133	-	TX	scaffold687	scaffold687
14	Lus10018096	16251416	16252088	+	RLK	scaffold687	scaffold687
13	Lus10006789	6251251	6254906	-	TNL	scaffold689	scaffold689
13	Lus10006794	6213590	6214996	+	NBS	scaffold689	scaffold689
13	Lus10006817	6086931	6090494	+	RLK	scaffold689	scaffold689
13	Lus10006824	6032152	6035158	-	RLP	scaffold689	scaffold689
13	Lus10006825	6022896	6026287	-	RLP	scaffold689	scaffold689
3	Lus10015956	12369965	12372631	+	RLK	scaffold7	scaffold7
3	Lus10033496	17095298	17100383	-	TM-CC	scaffold701	scaffold701a
3	Lus10033533	16901629	16905201	-	RLK	scaffold701	scaffold701a
12	Lus10033539	18801000	18804994	-	TM-CC	scaffold701	scaffold701b
12	Lus10033569	18962567	18964690	+	RLK	scaffold701	scaffold701b
12	Lus10033606	19115003	19116849	+	RLK	scaffold701	scaffold701b
12	Lus10033608	19122119	19129113	+	RLK	scaffold701	scaffold701b
6	Lus10033711	1418653	1422285	-	RLK	scaffold701	scaffold701c
6	Lus10033712	1415870	1417737	-	TM-CC	scaffold701	scaffold701c
6	Lus10033741	1264196	1266992	+	RLK	scaffold701	scaffold701c
6	Lus10033742	1257618	1262788	+	RLK	scaffold701	scaffold701c
6	Lus10033743	1254401	1257251	-	RLK	scaffold701	scaffold701c
6	Lus10033748	1238271	1240598	+	RLK	scaffold701	scaffold701c
9	Lus10004115	21434301	21450882	-	TNL	scaffold709	scaffold709
9	Lus10004126	21496943	21499804	-	NL	scaffold709	scaffold709
9	Lus10004127	21501659	21504409	-	NL	scaffold709	scaffold709
1	Lus10020835	19610160	19613738	-	RLK	scaffold711	scaffold711
1	Lus10020935	20188774	20191973	+	RLK	scaffold711	scaffold711
1	Lus10020936	20199563	20202012	+	RLK	scaffold711	scaffold711
9	Lus10007448	8069020	8070429	-	RLK	scaffold721	scaffold721
1	Lus10010067	27408632	27413804	+	TM-CC	scaffold722	scaffold722
1	Lus10010087	27524258	27527626	+	RLK	scaffold722	scaffold722
1	Lus10010092	27552658	27557765	+	TM-CC	scaffold722	scaffold722
5	Lus10008792	10815415	10820070	+	TM-CC	scaffold729	scaffold729
15	Lus10010356	12774055	12780849	-	TM-CC	scaffold732	scaffold732
15	Lus10010360	12762182	12763903	+	TM-CC	scaffold732	scaffold732
15	Lus10010362	12745047	12746592	+	TM-CC	scaffold732	scaffold732
9	Lus10021769	15399539	15404969	-	CNL	scaffold74	scaffold74
2	Lus10010373	14285291	14287107	-	TM-CC	scaffold740	scaffold740
2	Lus10006445	25259433	25261671	-	RLK	scaffold743	scaffold743
13	Lus10011352	19897488	19906520	-	TM-CC	scaffold744	scaffold744
13	Lus10011386	19746050	19756317	-	RLK	scaffold744	scaffold744
13	Lus10011387	19740068	19743252	-	RLK	scaffold744	scaffold744
13	Lus10011388	19734411	19737522	-	RLK	scaffold744	scaffold744
4	Lus10013013	9447418	9450588	-	RLK	scaffold751	scaffold751
4	Lus10013039	9303097	9305517	+	RLK	scaffold751	scaffold751
4	Lus10013040	9299219	9301601	+	RLK	scaffold751	scaffold751
4	Lus10013071	9125772	9128720	-	RLP	scaffold751	scaffold751
4	Lus10013073	9115512	9119493	+	RLK	scaffold751	scaffold751
9	Lus10011886	20010876	20012721	+	RLK	scaffold754	scaffold754
9	Lus10011917	19841995	19844984	-	RLK	scaffold754	scaffold754
11	Lus10035959	6201110	6203780	+	RLP	scaffold76	scaffold76a
1	Lus10035979	1111122	1114528	-	RLK	scaffold76	scaffold76b
1	Lus10036085	523740	530078	+	TM-CC	scaffold76	scaffold76b
1	Lus10036153	137341	149486	-	TM-CC	scaffold76	scaffold76b
15	Lus10003312	7997703	8000198	-	RLK	scaffold762	scaffold762
6	Lus10017611	2049388	2051511	-	RLK	scaffold765	scaffold765
6	Lus10017647	1890840	1892703	-	RLK	scaffold765	scaffold765
5	Lus10004461	12390505	12393830	+	RLK	scaffold768	scaffold768
5	Lus10004482	12473573	12475492	-	TX	scaffold768	scaffold768
5	Lus10004504	12578371	12580643	+	RLK	scaffold768	scaffold768
14	Lus10020524	3509735	3513339	-	TNL	scaffold77	scaffold77a
14	Lus10020532	3472925	3479322	+	TM-CC	scaffold77	scaffold77a
14	Lus10020533	3464751	3468704	+	TNL	scaffold77	scaffold77a
14	Lus10020534	3457175	3462957	+	OTHER	scaffold77	scaffold77a
14	Lus10020536	3447892	3451509	+	TNL	scaffold77	scaffold77a
14	Lus10020537	3436440	3441893	+	TNL	scaffold77	scaffold77a
3	Lus10007074	17973433	17974962	+	RLK	scaffold772	scaffold772
3	Lus10007077	17980624	17984765	+	RLK	scaffold772	scaffold772
13	Lus10005218	17536826	17540362	+	NL	scaffold773	scaffold773
11	Lus10031679	17986891	17987754	-	RLK	scaffold783	scaffold783a
10	Lus10031689	1621717	1626860	-	RLK	scaffold783	scaffold783b
10	Lus10031703	1550969	1553607	+	RLK	scaffold783	scaffold783b
10	Lus10031745	1345552	1351639	-	TM-CC	scaffold783	scaffold783b
10	Lus10031805	1072504	1075111	-	RLK	scaffold783	scaffold783b
10	Lus10031860	777431	781117	+	RLK	scaffold783	scaffold783b
10	Lus10031906	562338	569655	-	RLK	scaffold783	scaffold783b
13	Lus10001034	2873870	2876374	+	RLP	scaffold797	scaffold797
13	Lus10001035	2877002	2882692	-	RLP	scaffold797	scaffold797
13	Lus10001039	2911982	2914272	-	NL	scaffold797	scaffold797
13	Lus10001040	2914341	2915277	-	TX	scaffold797	scaffold797
10	Lus10022792	16697026	16699986	-	NL	scaffold8	scaffold8
10	Lus10022818	16555875	16558518	+	RLK	scaffold8	scaffold8
10	Lus10022848	16407719	16410840	-	RLK	scaffold8	scaffold8
10	Lus10022858	16316074	16322223	-	TM-CC	scaffold8	scaffold8
10	Lus10022864	16295946	16296779	+	RLP	scaffold8	scaffold8
10	Lus10022900	16154230	16157202	+	CNL	scaffold8	scaffold8
3	Lus10003478	4107568	4110481	-	RLK	scaffold80	scaffold80
4	Lus10004040	17129426	17131616	-	RLK	scaffold808	scaffold808b
4	Lus10004046	17091433	17094723	-	RLK	scaffold808	scaffold808b
4	Lus10004061	17032933	17037863	-	RLK	scaffold808	scaffold808b
